"id,quote,author"
"0,Who knows what true loneliness is - not the conventional word but the naked terror? To the lonely themselves it wears a mask. The most miserable outcast hugs some memory or some illusion.,Joseph Conrad"
"1,The belief in a supernatural source of evil is not necessary men alone are quite capable of every wickedness.,Joseph Conrad"
"2,Genius begins great works labor alone finishes them.,Joseph Joubert"
"3,Making checklists of things you're looking for in a person is the numero uno thing you can do to guarantee you'll be alone forever.,Joseph Gordon-Levitt"
"4,Celebrity doesn't have anything to do with art or craft. It's about being rich and thinking that you're better than everybody else.,Joseph Gordon-Levitt"
"5,For a writer only one form of patriotism exists: his attitude toward language.,Joseph Brodsky"
"6,There is nothing that makes its way more directly into the soul than beauty.,Joseph Addison"
"7,Cheerfulness is the best promoter of health and is as friendly to the mind as to the body.,Joseph Addison"
"8,The best remedy for a short temper is a long walk.,Joseph Joubert"
"9,I believe in prayer. It's the best way we have to draw strength from heaven.,Josephine Baker"
"10,There is nothing more requisite in business than despatch.,Joseph Addison"
"11,The career stuff is for business people.,Joseph Gordon-Levitt"
"12,Computers are like Old Testament gods lots of rules and no mercy.,Joseph Campbell"
"13,In the Soviet army it takes more courage to retreat than advance.,Joseph Stalin"
"14,Courage that grows from constitution often forsakes a man when he has occasion for it courage which arises from a sense of duty acts in a uniform manner.,Joseph Addison"
"15,Courage is rightly esteemed the first of human qualities - because it is the quality which guarantees all others.,Joseph Chamberlain"
"16,One death is a tragedy one million is a statistic.,Joseph Stalin"
"17,Death is the solution to all problems. No man - no problem.,Joseph Stalin"
"18,The death of one man is a tragedy. The death of millions is a statistic.,Joseph Stalin"
"19,Perhaps life is just that... a dream and a fear.,Joseph Conrad"
"20,Man is what he reads.,Joseph Brodsky"
"21,Education is a weapon whose effects depend on who holds it in his hands and at whom it is aimed.,Joseph Stalin"
"22,When a man wantonly destroys one of the works of man we call him a vandal. When he destroys one of the works of god we call him a sportsman.,Joseph Wood Krutch"
"23,I don't believe people are looking for the meaning of life as much as they are looking for the experience of being alive.,Joseph Campbell"
"24,I will not be discouraged by failure I will not be elated by success.,Joseph Barber Lightfoot"
"25,To be an atheist requires an indefinitely greater measure of faith than to recieve all the great truths which atheism would deny.,Joseph Addison"
"26,An Adult faith does not follow the waves of fashion and the latest novelties.,Joseph Ratzinger"
"27,The abuse of faith has to be resisted precisely.,Joseph Ratzinger"
"28,Cherish your human connections: your relationships with friends and family.,Joseph Brodsky"
"29,Love and fear. Everything the father of a family says must inspire one or the other.,Joseph Joubert"
"32,Not to like ice cream is to show oneself uninterested in food.,Joseph Epstein"
"34,Love is a friendship set to music.,Joseph Campbell"
