"id,quote,author"
"0,The belief in a supernatural source of evil is not necessary men alone are quite capable of every wickedness.,Joseph Conrad"
"1,Genius begins great works labor alone finishes them.,Joseph Joubert"
"2,For a writer only one form of patriotism exists: his attitude toward language.,Joseph Brodsky"
"3,There is nothing that makes its way more directly into the soul than beauty.,Joseph Addison"
"4,Cheerfulness is the best promoter of health and is as friendly to the mind as to the body.,Joseph Addison"
"5,The best remedy for a short temper is a long walk.,Joseph Joubert"
"6,I believe in prayer. It's the best way we have to draw strength from heaven.,Josephine Baker"
"7,There is nothing more requisite in business than despatch.,Joseph Addison"
"8,The career stuff is for business people.,Joseph Gordon-Levitt"
"9,Computers are like Old Testament gods lots of rules and no mercy.,Joseph Campbell"
"10,In the Soviet army it takes more courage to retreat than advance.,Joseph Stalin"
"11,Courage is rightly esteemed the first of human qualities - because it is the quality which guarantees all others.,Joseph Chamberlain"
"12,One death is a tragedy one million is a statistic.,Joseph Stalin"
"13,Death is the solution to all problems. No man - no problem.,Joseph Stalin"
"14,The death of one man is a tragedy. The death of millions is a statistic.,Joseph Stalin"
"15,Perhaps life is just that... a dream and a fear.,Joseph Conrad"
"16,Man is what he reads.,Joseph Brodsky"
"17,Education is a weapon whose effects depend on who holds it in his hands and at whom it is aimed.,Joseph Stalin"
"18,I will not be discouraged by failure I will not be elated by success.,Joseph Barber Lightfoot"
"19,An Adult faith does not follow the waves of fashion and the latest novelties.,Joseph Ratzinger"
"20,The abuse of faith has to be resisted precisely.,Joseph Ratzinger"
"21,Cherish your human connections: your relationships with friends and family.,Joseph Brodsky"
"22,Love and fear. Everything the father of a family says must inspire one or the other.,Joseph Joubert"
"23,Not to like ice cream is to show oneself uninterested in food.,Joseph Epstein"
"24,Love is a friendship set to music.,Joseph Campbell"
"25,Laughter is God's blessing.,Joseph Prince"
"26,God is a metaphor for that which transcends all levels of intellectual thought. It's as simple as that.,Joseph Campbell"
"27,Every country has the government it deserves.,Joseph de Maistre"
"28,Happiness is itself a kind of gratitude.,Joseph Wood Krutch"
"29,Happiness does not consist in self-love.,Joseph Butler"
"30,Life everlasting in a state of happiness is the greatest desire of all men.,Joseph Franklin Rutherford"
"31,The happiness which is lacking makes one think even the happiness one has unbearable.,Joseph Roux"
"32,Happiness is the real sense of fulfillment that comes from hard work.,Joseph Barbara"
"33,History shows that there are no invincible armies.,Joseph Stalin"
"34,The real history of consciousness starts with one's first lie.,Joseph Brodsky"
"35,Our poverty will be brought home to us to its full extent only after the war.,Joseph A. Schumpeter"
"36,Going home must be like going to render an account.,Joseph Conrad"
"37,Imagination is the eye of the soul.,Joseph Joubert"
"38,He who has imagination without learning has wings but no feet.,Joseph Joubert"
"39,One who has imagination without learning has wings without feet.,Joseph Joubert"
"40,Jehovah God is truly rich far beyond the imagination of humankind.,Joseph Franklin Rutherford"
"41,It is not ignorance but knowledge which is the mother of wonder.,Joseph Wood Krutch"
"42,Plant thy foot firmly in the prints which His foot has made before thee.,Joseph Barber Lightfoot"
"43,Play is the only way the highest intelligence of humankind can unfold.,Joseph Chilton Pearce"
"44,More men die of jealousy than of cancer.,Joseph P. Kennedy"
"45,I was studying for the SAT's and learning lines.,Joseph Gordon-Levitt"
"46,I've had a tough time learning how to act like a congressman. Today I accidentally spent some of my own money.,Joseph P. Kennedy"
"47,All ambitions are lawful except those which climb upward on the miseries or credulities of mankind.,Joseph Conrad"
"48,No oppression is so heavy or lasting as that which is inflicted by the perversion and exorbitance of legal authority.,Joseph Addison"
"49,The privilege of a lifetime is being who you are.,Joseph Campbell"
"50,Opportunities to find deeper powers within ourselves come when life seems most challenging.,Joseph Campbell"
"51,Your life is the fruit of your own doing. You have no one to blame but yourself.,Joseph Campbell"
